BOM No.,Assembly,Sub-Assembly,Part No.,Description,Qty,Unit,Material / Spec,Make/Buy,Preferred Supplier (India),Preferred Supplier (Global),Unit Cost USD,Unit Cost INR,Total USD,Total INR,Notes
1,DOOR PANEL ASSY,Panels,DP-001,Insulated sandwich panel 2540×533×40mm,4,pcs,0.45mm PPGI outer + 0.40mm GI inner + 40mm PU foam | RAL 7016,Buy,Dorset Industries / Fenesta / local OEM,Hörmann / Novoferm / local roll-former,$85,$7100,$340,$28400,Bottom section to have Al astragal slot
2,DOOR PANEL ASSY,Panels,DP-002,Bottom astragal (extruded Al 6063-T5 2540mm) + EPDM D-seal,1,set,Al 6063-T5 + EPDM co-extrusion,Buy,Hindalco / Jindal Aluminium / local,Frost King / Pemko,$18,$1500,$18,$1500,Drill and screw to bottom section
3,DOOR PANEL ASSY,Seals,DP-003,Side seal – EPDM brush strip 2135mm (pair),1,pair,EPDM rubber,Buy,Rubfila / Elasto / local rubber extrusion,Thermwell / M-D Building Products,$12,$1000,$12,$1000,Nail to door jamb
4,DOOR PANEL ASSY,Seals,DP-004,Top seal – EPDM bulb seal 2540mm,1,pcs,EPDM rubber,Buy,Rubfila / local,Frost King / Pemko,$8,$670,$8,$670,Mounted to header
5,TRACK SYSTEM,Vertical track,TR-001,Vertical track 76×32×3mm channel HDG – 2285mm lg.,2,pcs,3mm HDG steel (Z450),Make / Buy,Bharat Industries / local fabrication,Wayne Dalton track / local steel,$28,$2340,$56,$4680,Drill and slot for rollers at 533mm c/c
6,TRACK SYSTEM,Horizontal track,TR-002,Horizontal track 76×32×3mm channel HDG – 2435mm lg.,2,pcs,3mm HDG steel (Z450),Make / Buy,Same as TR-001,Same as TR-001,$25,$2090,$50,$4180,Slope: 2° down from header
7,TRACK SYSTEM,Curved section,TR-003,Curved track section 90° R=305mm 76×32mm,2,pcs,3mm HDG steel (Z450),Buy,Speciality Garage Fittings / import,Wayne Dalton / Raynor,$30,$2510,$60,$5020,Standard 2-inch radius track
8,TRACK SYSTEM,Brackets,TR-004,Wall angle bracket 100×50×3mm HDG – adjustable,8,pcs,3mm HDG steel,Make,Local fabrication / laser cut,Hardware store,$3,$250,$24,$2000,3 bolt holes + slot for adjustment
9,TRACK SYSTEM,Brackets,TR-005,Horizontal flag angle 75×50×3mm HDG,6,pcs,3mm HDG steel,Make,Local fabrication,Hardware store,$2,$170,$12,$1020,Ceiling mount for horizontal track
10,TRACK SYSTEM,Brackets,TR-006,Header bracket (center) 150×100×4mm HDG,1,pcs,4mm HDG steel,Make,Local fabrication,Hardware store,$8,$670,$8,$670,Mounts spring center bearing + drum bearing
